time[sec]	velocity[sec]	angle[rad]	x[m]	y[m]
5.940000	18.486620	0.002207	-5.202232	56.627773
5.970000	18.573772	0.005779	-5.362625	57.157833
6.000000	18.660925	0.009525	-5.523018	57.687901
6.030000	18.748981	0.012374	-5.682083	58.226177
6.060000	18.837614	0.016124	-5.839668	58.769840
6.090000	18.926779	0.019844	-5.995438	59.318760
6.120000	19.016438	0.023410	-6.149048	59.872952
6.150000	19.106094	0.026856	-6.302650	60.427143
6.180000	19.196510	0.029336	-6.451965	60.990505
6.210000	19.287270	0.032042	-6.598213	61.559513
6.240000	19.378242	0.034431	-6.741264	62.133923
6.270000	19.469305	0.036393	-6.880959	62.713657
6.300000	19.560368	0.038048	-7.020653	63.293392
6.330000	19.651348	0.039065	-7.154671	63.881664
6.360000	19.742043	0.039789	-7.284790	64.475494
6.390000	19.832272	0.040131	-7.411179	65.074432
6.420000	19.922503	0.040249	-7.537567	65.673386
6.450000	20.011721	0.040082	-7.658226	66.279999
6.480000	20.099937	0.039511	-7.774940	66.891769
6.510000	20.188156	0.038810	-7.891655	67.503540
6.540000	20.274546	0.038025	-8.002716	68.122604
6.570000	20.359364	0.036882	-8.110069	68.746384
6.600000	20.444181	0.035697	-8.217422	69.370163
6.630000	20.526443	0.034576	-8.319672	70.000351
6.660000	20.608706	0.033275	-8.421928	70.630554
6.690000	20.687799	0.032071	-8.518715	71.267532
6.720000	20.765022	0.030581	-8.612419	71.908310
6.750000	20.842247	0.029149	-8.706131	72.549103
6.780000	20.917242	0.027900	-8.795624	73.195053
6.810000	20.992237	0.026570	-8.885117	73.841003
6.840000	21.065542	0.025412	-8.970276	74.492340
6.870000	21.138849	0.024132	-9.055443	75.143692
6.900000	21.211420	0.023029	-9.136566	75.800247
6.930000	21.283991	0.021826	-9.217697	76.456818
6.960000	21.356878	0.020798	-9.295166	77.118469
6.990000	21.429766	0.019710	-9.372635	77.780121
7.020000	21.504025	0.018777	-9.446777	78.446838
7.050000	21.578283	0.017783	-9.520920	79.113571
7.080000	21.654968	0.016932	-9.592041	79.785446
7.110000	21.731653	0.016044	-9.663170	80.457306
7.140000	21.811699	0.015281	-9.731537	81.134491
7.170000	21.891745	0.014486	-9.799904	81.811661
7.200000	21.975622	0.013796	-9.865753	82.494293
7.230000	22.059500	0.013047	-9.931602	83.176941
7.260000	22.143379	0.012458	-9.997444	83.859573
7.290000	22.232367	0.011925	-10.060013	84.548935
7.320000	22.321352	0.011190	-10.122589	85.238312
7.350000	22.413414	0.010577	-10.183105	85.931656
7.380000	22.505476	0.009911	-10.243614	86.625000
7.410000	22.600199	0.009354	-10.302338	87.322556
7.440000	22.694921	0.008774	-10.361061	88.020126
7.470000	22.789644	0.008322	-10.419785	88.717697
7.500000	22.887365	0.007926	-10.476418	89.421173
7.530000	22.985086	0.007463	-10.533051	90.124649
7.560000	23.082808	0.007101	-10.589691	90.828125
7.590000	23.182949	0.006775	-10.644386	91.538376
7.620000	23.283091	0.006394	-10.699081	92.248627
7.650000	23.383667	0.006065	-10.752571	92.964096
7.680000	23.484243	0.005745	-10.806061	93.679565
7.710000	23.584820	0.005495	-10.859550	94.395035
7.740000	23.683771	0.005267	-10.911652	95.117493
7.770000	23.782722	0.005013	-10.963753	95.839935
7.800000	23.881674	0.004817	-11.015854	96.562393
7.830000	23.975998	0.004628	-11.066658	97.292480
7.860000	24.070320	0.004423	-11.117462	98.022552
7.890000	24.164644	0.004264	-11.168259	98.752640
7.920000	24.251251	0.004110	-11.217873	99.490356
7.950000	24.337858	0.003939	-11.267494	100.228058
7.980000	24.424465	0.003806	-11.317116	100.965790
8.010000	24.500778	0.003679	-11.365616	101.710403
8.040000	24.577089	0.003536	-11.414116	102.455017
8.070000	24.646109	0.003413	-11.461807	103.203583
8.100000	24.715128	0.003294	-11.509491	103.952148
8.130000	24.784147	0.003200	-11.557175	104.700714
8.160000	24.847240	0.003113	-11.603806	105.453064
8.190000	24.910334	0.003012	-11.650444	106.205414
8.220000	24.973427	0.002933	-11.697075	106.957764
8.250000	24.932640	0.002862	-11.742653	107.713669
8.280000	24.891855	0.002774	-11.788231	108.469574
8.310000	24.851068	0.002708	-11.833809	109.225479
8.340000	24.898439	0.002674	-11.877884	109.976379
8.370000	24.945810	0.002588	-11.921967	110.727264
8.400000	24.993179	0.002520	-11.966042	111.478149
8.430000	25.064486	0.002461	-12.009232	112.232986
8.460000	25.135792	0.002391	-12.052422	112.987808
8.490000	25.207098	0.002339	-12.095612	113.742630
8.520000	25.290663	0.002282	-12.138107	114.503830
8.550000	25.374228	0.002226	-12.180603	115.265015
8.580000	25.457792	0.002182	-12.223099	116.026199
8.610000	25.548058	0.002131	-12.264954	116.794205
8.640000	25.638323	0.002080	-12.306808	117.562195
8.670000	25.728588	0.002042	-12.348663	118.330185
8.700000	25.820454	0.001997	-12.389923	119.105148
8.730000	25.912319	0.001958	-12.431183	119.880096
8.760000	26.004183	0.001928	-12.472450	120.655045
8.790000	26.092821	0.001889	-12.513145	121.437149
8.820000	26.181459	0.001853	-12.553833	122.219254
8.850000	26.270098	0.001827	-12.594528	123.001358
8.880000	26.352343	0.001793	-12.634674	123.790604
8.910000	26.434587	0.001765	-12.674812	124.579834
8.940000	26.516830	0.001740	-12.714958	125.369064
8.970000	26.593197	0.001711	-12.754532	126.164719
9.000000	26.669563	0.001685	-12.794106	126.960373
9.030000	26.745930	0.001666	-12.833679	127.756027
9.060000	26.819485	0.001640	-12.872658	128.557266
9.090000	26.893038	0.001618	-12.911629	129.358505
9.120000	26.966591	0.001604	-12.950607	130.159729
9.150000	27.041334	0.001581	-12.988983	130.966278
9.180000	27.116077	0.001561	-13.027359	131.772827
9.210000	27.190821	0.001546	-13.065735	132.579376
9.240000	27.270775	0.001525	-13.103539	133.391632
9.270000	27.350729	0.001509	-13.141342	134.203888
9.300000	27.430683	0.001499	-13.179146	135.016144
9.330000	27.517345	0.001478	-13.216408	135.834702
9.360000	27.604006	0.001467	-13.253662	136.653259
9.390000	27.690666	0.001458	-13.290924	137.471802
